"day";"toptags"
"2016-05-04";"neverfor,freedom,ibackthebirds"
"2016-05-05";"blackmattersus,scaresomebodyin4words,trump2016"
"2016-05-06";"trump2016,islamistheproblem"
"2016-05-07";"nevertrump,tcot,cruz,cruzcrewforever,trump2016,cashinin,trumpsters,cruzcrew,lyindonald,deal,votetrump,investigatingoxy,neprimary,fightfor15,lemonade,feelthebern,alabama,happ,afenishakur"
"2016-05-08";"happybirthdayharrytruman,ifiwereyourmom,peoplearetiredof,tellyourmom,freecomicbookday,noshame,lemonadelive,benghazi,imthevictimbecause,periscope,afenishakur,mothersday,imthevictimbecausethe,ramarleygraham"
"2016-05-11";"ripbobmarley,undergroundwgn,fightfor15,certified,blackseeds,brexit"
"2016-05-12";"2ndamendmentday,tedcruz,pjnet,renewus,ppchistory,wakeupamerica,scprimary,rednationrising,cruzcrew,trusted,2a,tlot,waronwomen,c,crconvention,god,wakeupameri,wethepeople,dumptru,benghazi,comoncore,lenin,supportcoachk,bush,christians,israel,freddiegray,twill,throwbackthursday,gop,tbt,tcot,sad,isil,wakeupa,stop,howyoudoin,breaking,southcarolina,blacklivesmatter,justicefortrayvon,fightfor15,planned"
"2016-05-13";"trump2016"
"2016-05-14";"freedomriders,respect"
"2016-05-15";"honorforthebrave,blacklivesmatter,staywoke,pjnet,bluelivesmatter,peaceofficersmemorialday,gop,medschool,ferguson,plannedparenthood,trump2016,you,blacklivesmatte,militaryspouseappeciationday,wakeupamerica"
"2016-05-16";"staywoke,blacklivesmatter,gunsense,stoppoliceterror,racism,breakingnews,rutgerscommencement,nfl,newsonenow,rip,laquanmcdonald,icantbreathe,rutgers250,futureaapast,opgabon,ru250grad"
"2016-05-17";"pjnet,tcot"
"2016-05-19";"happybirthdaymalcolmx,neverhillary,makeamericagreatagain,crookedhillary,abstraktgoldsmith,trump2016,berniesanders,democrats,hillaryclinton,nobama,multicultural,zalayiajenkins,science"
"2016-05-20";"otd,imwithher,happybirthdaymalcolmx,egyptair,malcomx,banislam,preakness,crookedhillary"
"2016-05-22";"billcosby,trump2016,neverhillary,makeamericagreatagain,whiteprivilege,islamistheproblem,hillaryforprison2016,veteransfortrump,banislam"
"2016-05-23";"signsyouareamerican,trump2016,crookedhilllary,neverhillary,potus,rac,justice,signsyouareamer,newtrumptvshows,liberals,crookedhillary"
"2016-05-24";"heat,mytittiesgotheirseparatewayswhenitakemybraoff,blackhistory,breakingthroughpower,scotus"
"2016-05-25";"stephcurry,trump2016,wakeupamerica"
"2016-05-26";"blacklivesmatter,makeamericagreatagain,wakeupamerica,trump"
"2016-05-27";"bluelivesmatter,chineseracism,neverhillary,uncleroro,educate2impact,airportchronicles,marissaalexander,memorialday"
"2016-05-28";"tedcruz,pjnet,renewus,cruzcrew,tcot,wakeupamerica,rednationrising,ccot,scprimary,trusted,election2016,tgdn,tlot,cruzcr,2a,benghazi,gop,crconvention,cosproject,stop,bencarson2016,unafyamerica,irs,princessladywoc,humaabedin,ndaa,p2,makeamericagreatagain,sanbernadino,obama,kellyfile,cruzcre,re,blackradio,jesus,southcarolina,cruz,cr,yesnomaybesopoll,agenda21,sdtrumprally,pressspying,cru,water,supportcoachk,obamacare,rene,thinblueline,israel,wethepeople,defunfpp,thankublu,god,patriots,waronwomen,nsa,nevertrump"
"2016-05-29";"pjnet,tcot,crconvention,cruzcrew,tgdn,tedcruz,2a,rednationrising,articlev,election2016,1,potus,raisethewag,renewus,economy,sc,ccot,conservative,hadenoughyet,c,thinblueline,13hours,amnesty,2adefenders,tlot,teaparty,trusted,patriots,1010means,cosproject,p2,cos,makeamericagreatagain,cru,cosp"
"2016-05-30";"inhonorof,memorialday,howtomakeamangay,inho,inh,i,trump2016,inhonor,memorialdayweekend,trumptrain,memorialday2016,crookedhillary,makeamericagreatagain,obamaout"
"2016-05-31";"wakeupamerica,tcot,2a,pjnet,iowacaucus,ccot,wethepeople,teaparty,germany,superbowl,hillaryliesmatter,dumptrump,gop,waar,patriot,youth4trump,trump2016,newhampshiretownhall,rapefugees,kellyfile,merkel,rednationrising,theteaparty,hillaryclinton,rt,teapartynews,monicalewinsky,usfreedomarmy,ohhillno,trump,tgdn"
"2016-06-01";"staywoke,wheniwasyoung,wcw,freshprincebet,illuminati,whenmystomachgrowls,pakistan,airportworkers,superbowl50,rolandsdvdplaylist,selfiestatue,baltimorechangemakers"
"2016-06-02";"trump2016,2a"
"2016-06-03";"trump2016,obamaout,wakeupamerica,hillaryforprison2016,maga,crookedhillary"
"2016-06-04";"muhammadali,prince,makeamericagreatagain,othervoices,veterans"
"2016-06-05";"trump2016,makeamericagreatagain"
"2016-06-06";"hillaryforprison2016,trump2016,islamistheproblem,dday"
"2016-06-08";"staywoke,blacklivesmatter,hillary2016,jeremymcdole,oscarssowhite,ff,icantbreathe,blacktwitter,insidethelabelbet,adviseshowmedia,policebrutality,ramadan,worldoceansday"
"2016-06-09";"trumptrain,onhere,alllivesmatter,menshealthmonth,thankfulthursday,ali"
"2016-06-10";"maga,trump2016"
"2016-06-11";"crookedhillary"
"2016-06-12";"prparade,hater,ojmadeinamerica"
"2016-06-13";"staywoke,wakeup,gameofthrones,trump,orlandounited,nebraska,orlando,makeamericagreatagain,feelthebern,maat,maga"
